                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     95,                0.61631,                0.39225,                0.86514,                0.99676,                0.98105,                0.98599,                0.86657,                0.51585,                0.31581,                0.82762,               0.008449,               0.008449,               0.008449
                     96,                0.61277,                0.39101,                0.86433,                0.99347,                0.98229,                0.98684,                 0.8658,                0.51292,                0.31545,                0.82737,              0.0084325,              0.0084325,              0.0084325
                     97,                0.61658,                0.39495,                0.86532,                0.99457,                0.97572,                0.98714,                0.87058,                0.50911,                0.31114,                0.82623,               0.008416,               0.008416,               0.008416
                     98,                0.60657,                0.37996,                  0.861,                0.99148,                0.97667,                0.98025,                0.86565,                0.50475,                0.31434,                0.82491,              0.0083995,              0.0083995,              0.0083995
                     99,                0.62223,                0.38531,                0.86676,                0.98991,                  0.983,                0.98605,                0.87471,                0.50179,                0.31298,                0.82478,               0.008383,               0.008383,               0.008383
                    100,                0.61718,                 0.3884,                0.86476,                 0.9738,                0.98852,                0.98661,                0.87093,                0.51685,                0.31677,                0.82792,              0.0083665,              0.0083665,              0.0083665
                    101,                0.60565,                0.38441,                 0.8636,                0.99652,                0.97767,                0.98743,                0.87354,                0.50213,                0.31072,                0.82632,                0.00835,                0.00835,                0.00835
                    102,                0.60992,                0.37792,                0.86305,                0.99127,                0.98577,                0.98754,                0.88281,                0.49407,                0.30387,                0.82345,              0.0083335,              0.0083335,              0.0083335
                    103,                0.59563,                0.37703,                0.85987,                0.99169,                0.97964,                0.98742,                0.86412,                0.53168,                0.30949,                0.83284,               0.008317,               0.008317,               0.008317
                    104,                0.60397,                0.37623,                0.86074,                0.99553,                0.98067,                0.98716,                0.87253,                0.49387,                0.30308,                0.82599,              0.0083005,              0.0083005,              0.0083005
                    105,                0.60328,                0.37528,                0.86103,                0.99052,                0.98367,                 0.9875,                0.87393,                0.50721,                0.30538,                0.82809,               0.008284,               0.008284,               0.008284
                    106,                0.59837,                 0.3774,                0.85662,                0.99183,                0.98475,                0.98725,                0.87533,                0.51318,                0.30391,                0.82557,              0.0082675,              0.0082675,              0.0082675
                    107,                0.60113,                0.38904,                0.86565,                0.99259,                0.98214,                0.98729,                0.88006,                0.48482,                0.30329,                0.81908,               0.008251,               0.008251,               0.008251
                    108,                0.60774,                0.37893,                0.86159,                0.99496,                0.98449,                0.98729,                0.88053,                0.49466,                0.29927,                0.82295,              0.0082345,              0.0082345,              0.0082345
                    109,                  0.599,                0.37151,                0.85966,                0.99353,                0.98539,                0.98754,                 0.8815,                0.49264,                0.29972,                0.82032,               0.008218,               0.008218,               0.008218
                    110,                0.59297,                 0.3671,                0.86186,                0.99597,                0.98225,                0.98727,                0.89076,                0.46906,                0.29266,                0.81625,              0.0082015,              0.0082015,              0.0082015
                    111,                0.57808,                 0.3597,                0.85636,                0.98888,                0.97433,                0.98611,                0.88292,                0.47783,                0.29539,                0.82047,               0.008185,               0.008185,               0.008185
                    112,                0.58729,                0.36121,                0.85754,                0.99193,                0.98277,                0.98758,                0.88149,                0.47998,                0.29475,                0.81963,              0.0081685,              0.0081685,              0.0081685
                    113,                0.58434,                0.36744,                0.85617,                0.99216,                 0.9791,                0.98695,                0.88218,                0.49127,                  0.302,                0.82433,               0.008152,               0.008152,               0.008152
                    114,                0.58131,                0.36702,                0.85841,                0.99005,                0.98224,                0.98745,                0.88061,                0.48461,                0.29646,                0.82217,              0.0081355,              0.0081355,              0.0081355
                    115,                0.58487,                0.36923,                0.85528,                0.99053,                0.98104,                0.98489,                0.87331,                0.48417,                0.29686,                0.82351,               0.008119,               0.008119,               0.008119
                    116,                0.57995,                0.37126,                0.85833,                0.98384,                0.98377,                0.98728,                0.88248,                0.47062,                0.29448,                0.81788,              0.0081025,              0.0081025,              0.0081025
                    117,                0.57689,                0.36249,                0.85421,                0.99085,                0.98167,                0.98673,                0.87174,                0.50653,                0.30149,                0.82616,               0.008086,               0.008086,               0.008086
                    118,                0.57665,                0.36267,                0.85133,                0.99448,                0.98215,                 0.9873,                0.88758,                 0.4732,                0.28927,                0.81914,              0.0080695,              0.0080695,              0.0080695
                    119,                0.57313,                0.36026,                0.85222,                 0.9955,                0.97829,                0.98519,                0.88146,                0.46762,                0.29058,                0.81915,               0.008053,               0.008053,               0.008053
                    120,                0.57656,                0.36267,                0.85626,                0.99238,                0.98337,                0.98687,                0.88142,                0.47303,                0.28889,                0.81931,              0.0080365,              0.0080365,              0.0080365
                    121,                0.57963,                0.36003,                0.85666,                 0.9854,                0.98636,                0.98581,                 0.8813,                0.48423,                 0.2979,                0.82182,                0.00802,                0.00802,                0.00802
                    122,                0.57297,                0.35795,                 0.8552,                0.99432,                0.98707,                0.98661,                0.89265,                0.45751,                0.28382,                0.81345,              0.0080035,              0.0080035,              0.0080035
                    123,                0.58276,                0.35616,                0.85509,                0.99403,                0.98415,                0.98664,                0.88583,                0.45337,                0.28873,                0.81382,               0.007987,               0.007987,               0.007987
                    124,                 0.5649,                  0.355,                0.85461,                0.99295,                0.98392,                0.98743,                0.89246,                 0.4553,                0.28594,                0.81422,              0.0079705,              0.0079705,              0.0079705
                    125,                0.57133,                0.35421,                0.85399,                0.99203,                0.98134,                0.98725,                0.88472,                0.46652,                0.28827,                0.81855,               0.007954,               0.007954,               0.007954
                    126,                0.56651,                0.35977,                0.85177,                0.99078,                 0.9869,                0.98711,                0.89348,                0.44538,                0.28218,                 0.8128,              0.0079375,              0.0079375,              0.0079375
                    127,                0.56087,                0.35076,                0.85039,                0.98794,                0.98387,                0.98656,                 0.8869,                0.45565,                0.28607,                0.81727,               0.007921,               0.007921,               0.007921
                    128,                0.55941,                0.34858,                0.84909,                0.99054,                0.98333,                0.98736,                0.88695,                0.46502,                0.28439,                0.81948,              0.0079045,              0.0079045,              0.0079045
                    129,                0.55508,                0.34727,                0.85334,                0.99013,                 0.9857,                0.98605,                0.89014,                0.44512,                0.28126,                0.81451,               0.007888,               0.007888,               0.007888
                    130,                0.56004,                0.35274,                0.85402,                0.99117,                0.98386,                0.98726,                0.89096,                0.46388,                0.28408,                0.81826,              0.0078715,              0.0078715,              0.0078715
                    131,                 0.5666,                0.35216,                0.85186,                0.99436,                 0.9814,                0.98762,                0.89365,                0.44977,                0.28042,                0.81761,               0.007855,               0.007855,               0.007855
                    132,                0.55665,                0.35132,                0.84931,                0.99181,                0.97406,                0.98668,                0.88983,                0.45247,                0.28525,                0.81711,              0.0078385,              0.0078385,              0.0078385
                    133,                0.55354,                0.35325,                0.84802,                0.99072,                0.98233,                0.98562,                0.89767,                0.45817,                0.28106,                0.81482,               0.007822,               0.007822,               0.007822
                    134,                0.57027,                0.35282,                0.85257,                0.99349,                0.98706,                0.98755,                0.90048,                0.44003,                0.27602,                0.81115,              0.0078055,              0.0078055,              0.0078055
                    135,                0.55783,                0.34713,                0.84976,                 0.9897,                0.98223,                0.98736,                0.89715,                0.44293,                0.27895,                0.81034,               0.007789,               0.007789,               0.007789
                    136,                0.55304,                0.34818,                 0.8456,                0.99382,                0.98217,                 0.9876,                0.89624,                0.44855,                0.27641,                0.81498,              0.0077725,              0.0077725,              0.0077725
                    137,                0.54582,                0.34445,                0.84634,                0.98666,                0.98701,                0.98637,                 0.8892,                0.45654,                0.27916,                0.81644,               0.007756,               0.007756,               0.007756
                    138,                 0.5617,                 0.3478,                0.85022,                 0.9862,                0.98773,                0.98675,                0.89111,                0.44796,                0.28043,                0.81427,              0.0077395,              0.0077395,              0.0077395
                    139,                0.54945,                 0.3399,                0.85049,                0.99365,                0.98339,                0.98577,                0.88509,                0.46237,                0.28159,                0.82003,               0.007723,               0.007723,               0.007723
